username,scrobble_date,artist,track,album,insertion_date,genre
rafinhaperry,2018-01-12 14:57:20.000,Marina and the Diamonds,Shampain,The Family Jewels (Deluxe),2024-06-17 16:07:46.055,electronic
rafinhaperry,2018-01-12 14:57:20.000,Marina and the Diamonds,Shampain,The Family Jewels (Deluxe),2024-06-17 16:07:46.055,pop
rafinhaperry,2018-01-12 14:57:20.000,Marina and the Diamonds,Shampain,The Family Jewels (Deluxe),2024-06-17 16:07:46.055,female vocalists
rafinhaperry,2018-01-12 14:57:20.000,Marina and the Diamonds,Shampain,The Family Jewels (Deluxe),2024-06-17 16:07:46.055,indie
isaaflintz,2019-12-19 03:55:08.000,Marisa Monte,Beija Eu,Mais,2024-06-17 14:57:44.318,mpb
isaaflintz,2019-12-19 03:55:08.000,Marisa Monte,Beija Eu,Mais,2024-06-17 14:57:44.318,Marisa Monte
isaaflintz,2019-12-19 03:55:08.000,Marisa Monte,Beija Eu,Mais,2024-06-17 14:57:44.318,brasil
isaaflintz,2019-12-19 03:55:08.000,Marisa Monte,Beija Eu,Mais,2024-06-17 14:57:44.318,brazilian
isaaflintz,2019-12-19 03:55:08.000,Marisa Monte,Beija Eu,Mais,2024-06-17 14:57:44.318,female vocalists
Luca1_2_3,2022-12-26 15:10:22.000,Nas,The Pressure,King's Disease II,2024-06-17 14:38:03.021,Nas
Hydraine,2021-01-23 18:03:18.000,Coldplay,Green Eyes,A Rush of Blood to the Head,2024-06-17 15:27:10.614,rock
Hydraine,2021-01-23 18:03:18.000,Coldplay,Green Eyes,A Rush of Blood to the Head,2024-06-17 15:27:10.614,Coldplay
Hydraine,2021-01-23 18:03:18.000,Coldplay,Green Eyes,A Rush of Blood to the Head,2024-06-17 15:27:10.614,alternative
Hydraine,2021-01-23 18:03:18.000,Coldplay,Green Eyes,A Rush of Blood to the Head,2024-06-17 15:27:10.614,britpop
Hydraine,2021-01-23 18:03:18.000,Coldplay,Green Eyes,A Rush of Blood to the Head,2024-06-17 15:27:10.614,british
rafinhaperry,2017-11-14 22:48:26.000,Linkin Park,Heavy (feat. Kiiara),One More Light,2024-06-17 16:08:32.838,pop
rafinhaperry,2017-11-14 22:48:26.000,Linkin Park,Heavy (feat. Kiiara),One More Light,2024-06-17 16:08:32.838,pop rock
rafinhaperry,2017-11-14 22:48:26.000,Linkin Park,Heavy (feat. Kiiara),One More Light,2024-06-17 16:08:32.838,alternative
rafinhaperry,2017-11-14 22:48:26.000,Linkin Park,Heavy (feat. Kiiara),One More Light,2024-06-17 16:08:32.838,electronic
rafinhaperry,2017-11-14 22:48:26.000,Linkin Park,Heavy (feat. Kiiara),One More Light,2024-06-17 16:08:32.838,rock
rmottafc,2021-12-09 21:08:44.000,Men I Trust,Always Lone,Untourable Album,2024-06-17 13:00:39.505,downtempo
rmottafc,2021-12-09 21:08:44.000,Men I Trust,Always Lone,Untourable Album,2024-06-17 13:00:39.505,dream pop
rmottafc,2021-12-09 21:08:44.000,Men I Trust,Always Lone,Untourable Album,2024-06-17 13:00:39.505,bedroom pop
rmottafc,2021-12-09 21:08:44.000,Men I Trust,Always Lone,Untourable Album,2024-06-17 13:00:39.505,Sophisti-Pop
Luca1_2_3,2020-08-28 21:31:42.000,The Velvet Underground,Heroin,The Velvet Underground & Nico 45th Anniversary,2024-06-17 14:42:16.458,psychedelic
Luca1_2_3,2020-08-28 21:31:42.000,The Velvet Underground,Heroin,The Velvet Underground & Nico 45th Anniversary,2024-06-17 14:42:16.458,rock
Luca1_2_3,2020-08-28 21:31:42.000,The Velvet Underground,Heroin,The Velvet Underground & Nico 45th Anniversary,2024-06-17 14:42:16.458,classic rock
Luca1_2_3,2020-08-28 21:31:42.000,The Velvet Underground,Heroin,The Velvet Underground & Nico 45th Anniversary,2024-06-17 14:42:16.458,60s
Luca1_2_3,2020-08-28 21:31:42.000,The Velvet Underground,Heroin,The Velvet Underground & Nico 45th Anniversary,2024-06-17 14:42:16.458,drugs
pedrokuchpil,2023-11-29 10:58:00.000,Akon,Beautiful,Freedom,2024-06-17 15:47:51.109,Akon
pedrokuchpil,2023-11-29 10:58:00.000,Akon,Beautiful,Freedom,2024-06-17 15:47:51.109,rnb
pedrokuchpil,2023-11-29 10:58:00.000,Akon,Beautiful,Freedom,2024-06-17 15:47:51.109,Hip-Hop
pedrokuchpil,2023-11-29 10:58:00.000,Akon,Beautiful,Freedom,2024-06-17 15:47:51.109,dance
pedrokuchpil,2023-11-29 10:58:00.000,Akon,Beautiful,Freedom,2024-06-17 15:47:51.109,rap
rmottafc,2023-05-10 20:53:22.000,"Tyler, the Creator",GROUP B,GROUP B,2024-06-17 12:53:09.878,abstract rap
rmottafc,2023-05-10 20:53:22.000,"Tyler, the Creator",GROUP B,GROUP B,2024-06-17 12:53:09.878,swag
rmottafc,2023-05-10 20:53:22.000,"Tyler, the Creator",GROUP B,GROUP B,2024-06-17 12:53:09.878,tyler the creator
rmottafc,2023-05-10 20:53:22.000,"Tyler, the Creator",GROUP B,GROUP B,2024-06-17 12:53:09.878,cheddarbob
